first_date,tic
1950-12-31,LLY
1983-12-31,UNH
1950-12-31,JNJ
2010-12-31,ABBV
1950-12-31,MRK
1967-06-30,TMO
1998-12-31,ISRG
1950-12-31,ABT
1970-12-31,DHR
1950-12-31,PFE
1983-03-31,AMGN
1991-12-31,BSX
1978-12-31,SYK
1950-12-31,BMY
1991-03-31,GILD
1964-04-30,MDT
1990-12-31,VRTX
1999-12-31,ELV
1996-12-31,CI
2010-12-31,ZTS
1962-03-31,MCK
1990-12-31,REGN
1957-09-30,BDX
1950-12-31,CVS
1990-12-31,HCA
1994-09-30,COR
1998-10-31,A
1998-12-31,EW
2020-12-31,GEHC
1990-12-31,IDXX
1994-06-30,RMD
2011-12-31,IQV
1992-08-31,HUM
2003-12-31,DXCM
1999-12-31,CNC
1982-12-31,CAH
1996-12-31,MTD
1969-12-31,WST
1994-12-31,WAT
1999-12-31,ZBH
1992-03-31,STE
1990-12-31,BIIB
1988-12-31,LH
2005-12-31,PODD
1982-10-31,COO
1995-12-31,DGX
1989-09-30,HOLX
2001-12-31,MOH
1950-12-31,BAX
1998-12-31,ALGN
1957-12-31,RVTY
1974-03-31,VTRS
1989-06-30,TECH
1992-12-31,INCY
2016-12-31,MRNA
1980-12-31,UHS
2022-12-31,SOLV
1994-12-31,HSIC
1998-12-31,CRL
1961-12-31,TFX
1995-05-31,DVA
