datadate,dp,tic
1950-12-31,2.14,LLY
1983-12-31,0.319,UNH
1950-12-31,3.63,JNJ
2010-12-31,1184.361,ABBV
1950-12-31,2.54,MRK
1967-06-30,0.08,TMO
1998-12-31,1.268,ISRG
1950-12-31,1.07,ABT
1970-12-31,0.0,DHR
1950-12-31,2.36,PFE
1983-03-31,0.655,AMGN
1991-12-31,3.271,BSX
1978-12-31,0.382,SYK
1950-12-31,1.19,BMY
1991-03-31,0.753,GILD
1964-04-30,0.013,MDT
1990-12-31,1.277,VRTX
1999-12-31,59.8,ELV
1996-12-31,227.0,CI
2010-12-31,168.0,ZTS
1962-03-31,1.614,MCK
1990-12-31,0.255,REGN
1957-09-30,0.71,BDX
1950-12-31,1.26,CVS
1990-12-31,9.609,HCA
1994-09-30,6.64,COR
1998-10-31,477.0,A
1998-12-31,82.0,EW
2020-12-31,630.0,GEHC
1990-12-31,1.476,IDXX
1994-06-30,0.255,RMD
2011-12-31,92.004,IQV
1992-08-31,34.0,HUM
2003-12-31,0.354,DXCM
1999-12-31,1.142,CNC
1982-12-31,0.639,CAH
1996-12-31,27.437,MTD
1969-12-31,1.118,WST
1994-12-31,7.698,WAT
1999-12-31,22.0,ZBH
1992-03-31,0.226,STE
1990-12-31,0.505,BIIB
1988-12-31,10.7,LH
2005-12-31,1.203,PODD
1982-10-31,5.433,COO
1995-12-31,101.513,DGX
1989-09-30,0.139,HOLX
2001-12-31,2.407,MOH
1950-12-31,0.16,BAX
1998-12-31,0.115,ALGN
1957-12-31,0.06,RVTY
1974-03-31,0.194,VTRS
1989-06-30,0.201,TECH
1992-12-31,0.207,INCY
2016-12-31,15.114,MRNA
1980-12-31,3.933,UHS
2022-12-31,550.0,SOLV
1994-12-31,3.811,HSIC
1998-12-31,10.455,CRL
1961-12-31,0.2,TFX
1995-05-31,3.163,DVA
